epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,140.737,0.45163,0.35527,0.88181,0.99363,0.98611,0.98395,0.88317,0.52873,0.33557,0.92138,0.00101066,0.00101066,0.00101066
90,142.263,0.46966,0.35126,0.8821,0.99467,0.98611,0.98305,0.88898,0.51835,0.36856,0.91091,0.00100794,0.00100794,0.00100794
91,144.653,0.44865,0.34809,0.87276,0.98003,0.98503,0.98301,0.88648,0.47857,0.3297,0.90272,0.00100522,0.00100522,0.00100522
92,146.172,0.44978,0.34948,0.87353,0.99562,0.98611,0.98336,0.8833,0.4981,0.32594,0.91442,0.00100141,0.00100141,0.00100141
93,147.701,0.43422,0.34705,0.87265,0.98981,0.98611,0.98385,0.88763,0.49972,0.3379,0.90893,0.000998675,0.000998675,0.000998675
94,149.261,0.45805,0.34105,0.883,0.99528,0.98611,0.98409,0.88481,0.4991,0.34226,0.90319,0.000995944,0.000995944,0.000995944
95,150.782,0.45883,0.34448,0.87463,0.98153,0.98611,0.98379,0.88976,0.49783,0.36314,0.90997,0.000993212,0.000993212,0.000993212
96,152.695,0.45234,0.3282,0.86694,0.99392,0.98585,0.98339,0.87915,0.50329,0.32552,0.91645,0.000991052,0.000991052,0.000991052
97,154.261,0.47063,0.34182,0.89081,0.98843,0.97498,0.98317,0.89383,0.48636,0.34325,0.911,0.000987748,0.000987748,0.000987748
98,155.793,0.44768,0.33861,0.89951,0.98021,0.97467,0.98288,0.90051,0.47448,0.3438,0.91138,0.000985017,0.000985017,0.000985017
99,157.308,0.43214,0.33976,0.87972,0.9873,0.97628,0.98277,0.88885,0.4936,0.34194,0.91028,0.000982285,0.000982285,0.000982285
100,158.837,0.44403,0.32308,0.87114,0.98467,0.96374,0.98274,0.88722,0.47492,0.38054,0.90456,0.000979553,0.000979553,0.000979553
101,160.359,0.44063,0.32906,0.86799,0.98401,0.98611,0.98274,0.89186,0.46453,0.31798,0.89306,0.000976821,0.000976821,0.000976821
102,161.889,0.4403,0.34093,0.89129,0.98073,0.98611,0.98372,0.8828,0.48395,0.33698,0.90361,0.000974089,0.000974089,0.000974089
103,163.415,0.43876,0.33062,0.88292,0.971,0.98611,0.9837,0.88067,0.49137,0.34628,0.89503,0.000971971,0.000971971,0.000971971
104,164.962,0.45755,0.33462,0.87389,0.99385,0.98611,0.98365,0.87995,0.50169,0.33587,0.91164,0.000969246,0.000969246,0.000969246
105,166.517,0.43628,0.32332,0.87682,0.9963,0.98611,0.98347,0.88924,0.49099,0.3246,0.91931,0.00096652,0.00096652,0.00096652
106,168.049,0.46294,0.32997,0.88779,0.99602,0.98611,0.98354,0.90054,0.4759,0.30682,0.90796,0.000963794,0.000963794,0.000963794
107,170.206,0.43291,0.31415,0.86593,0.98497,0.98611,0.98421,0.89134,0.47625,0.35452,0.90695,0.000961068,0.000961068,0.000961068
108,171.738,0.43734,0.32149,0.87489,0.98319,0.98611,0.98412,0.89155,0.48728,0.33325,0.91239,0.000957699,0.000957699,0.000957699
109,173.28,0.4382,0.3324,0.88785,0.99322,0.98571,0.98361,0.89124,0.49855,0.33268,0.91373,0.000954967,0.000954967,0.000954967
110,174.846,0.44286,0.33208,0.88512,0.9941,0.97966,0.98335,0.88882,0.50192,0.33544,0.91185,0.000952235,0.000952235,0.000952235
111,176.373,0.43724,0.32275,0.86627,0.99322,0.98567,0.98349,0.87728,0.50608,0.33862,0.9254,0.000949503,0.000949503,0.000949503
112,177.912,0.44652,0.32559,0.87804,0.99518,0.98611,0.98332,0.89129,0.47821,0.31911,0.90116,0.000946772,0.000946772,0.000946772
113,179.516,0.43839,0.32491,0.88217,0.9937,0.98611,0.98309,0.89233,0.46455,0.33273,0.89655,0.00094404,0.00094404,0.00094404
114,181.04,0.44295,0.323,0.88387,0.98956,0.98452,0.98264,0.8935,0.46154,0.32863,0.89944,0.000941308,0.000941308,0.000941308
115,182.568,0.41658,0.30728,0.86106,0.99469,0.98611,0.98285,0.88145,0.48927,0.31804,0.92082,0.000938576,0.000938576,0.000938576
116,184.132,0.41808,0.29739,0.85164,0.99287,0.98611,0.98371,0.88166,0.50209,0.31429,0.90712,0.000936536,0.000936536,0.000936536
117,185.665,0.44283,0.31577,0.88227,0.9867,0.9634,0.98238,0.88401,0.48463,0.32295,0.90036,0.000933811,0.000933811,0.000933811
118,187.206,0.41831,0.31123,0.86638,0.83816,0.90645,0.96319,0.86694,0.49981,0.60701,0.89945,0.000931085,0.000931085,0.000931085
119,188.735,0.42838,0.31343,0.87994,0.945,0.93613,0.97592,0.8854,0.50961,0.42534,0.91357,0.000928359,0.000928359,0.000928359
120,190.261,0.4384,0.31355,0.8828,0.99562,0.98611,0.98435,0.8935,0.49539,0.30297,0.90707,0.000925633,0.000925633,0.000925633
121,191.786,0.42667,0.32138,0.88079,0.98796,0.98611,0.98388,0.88405,0.52346,0.316,0.91774,0.000922907,0.000922907,0.000922907
